"id(idx)","章节(num,zj)","章节名称(str,n)","章节描述(str,d)","章节背景(str,p)","章节路线(str,l)","Boss头像(str,bossHead)","文字描述1","文字描述2",
40100001,1,第1章 路见不平,创业第一天，你去考察市场，路上看到街道拐角处的一家店铺门前有人吵嚷。,10011141,xgq6,boss_02,140100001,240100001,
40100002,2,第2章 业务上门,休养了几天并无大碍，你便去公司准备开工，没想到这么快就有生意找上门来。,10011142,xgq1,boss_01,140100002,240100002,
40100003,3,第3章 神秘计划,和张总的合作谈的很顺利，你邀请张总留下一起吃晚餐。,10011143,xgq2,boss_07,140100003,240100003,
40100004,4,第4章 狭路相逢,公司的业务日益增加，你顾不得追问林秘书的身份和神秘计划的事情，只能先投身到工作中。,10011144,xgq1,boss_02,140100004,240100004,
40100005,5,第5章 昔日的耻辱,你突然想起最想忘记的那段记忆，和当初刘石丑恶的嘴脸……,10011141,xgq3,boss_09,140100005,240100005,
40100006,6,第6章 复仇的快感,往事再现，你不禁感到屈辱和愤怒，你决定要双倍奉还。,10011142,xgq5,boss_01,140100006,240100006,
40100007,7,第7章 新的挑战,公司渐渐走上正轨，这时候新的挑战来了，居然有望和一家全国排名前十的企业合作。,10011143,xgq6,boss_03,140100007,240100007,
40100008,8,第8章 齐心协力,这笔生意的前景的确很诱惑人，但是难度也很大，你有些发愁。,10011144,xgq4,boss_05,140100008,240100008,
40100009,9,第9章 峰回路转,就在焦头烂额的时候，林秘书突然带来了一个好消息……,10011141,xgq2,boss_02,140100009,240100009,
40100010,10,第10章 完美收官,有了郝强帮忙，很快你们就做出了满意的方案。,10011142,xgq6,boss_04,140100010,240100010,
40100011,11,第11章 业务暴增,公司渐渐走上正轨，近几日突然暴增了许多订单。,10011143,xgq5,boss_09,140100011,240100011,
40100012,12,第12章 可能是阴谋,大家在一起辛苦处理生意的时候，你却隐隐觉得哪里不太对劲……,10011144,xgq3,boss_10,140100012,240100012,
40100013,13,第13章 有人投诉,前面的问题还尚未完全解决，公司这边一大早就炸开锅了。,10011141,xgq3,boss_08,140100013,240100013,
40100014,14,第14章 同行搞鬼,经过多方查证，终于可以确定是谁在背后搞鬼了……,10011142,xgq2,boss_07,140100014,240100014,
40100015,15,第15章 陷入困境,公司名声被恶意诋毁，很多合作取消，公司一下子陷入前所未有的困境……,10011143,xgq6,boss_08,140100015,240100015,
40100016,16,第16章 转机出现,眼见着公司亏损越来越多，你无比焦虑，没想到林秘书带来了好消息。,10011144,xgq2,boss_03,140100016,240100016,
40100017,17,第17章 秘书的神通,距离林秘书汇报工作已经过了两天，你心急如焚，刚来到公司就听说有了爆炸新闻。,10011141,xgq4,boss_05,140100017,240100017,
40100018,18,第18章 化险为夷,新闻披露出来之后，网上陆续开始有人为公司正名，公司的名声不但挽回了，信赖公司的人也更多了起来。,10011142,xgq5,boss_04,140100018,240100018,
40100019,19,第19章 渐入佳境,风波过后，公司的业务恢复到了以前，还新合作了很多大生意。,10011143,xgq3,boss_06,140100019,240100019,
40100020,20,第20章 声名鹊起,可能真的是因祸得福，这段时间生意蒸蒸日上，公司的名气越来越大了起来。,10011144,xgq1,boss_09,140100020,240100020,
40100021,21,第21章 顺风顺水,自从风波过后，公司一天比一天忙，生意做得也算顺风顺水。,10011141,xgq2,boss_03,140100021,240100021,
40100022,22,第22章 拓展疆土,随着生意做大，大家也更加有激情，你决定拓展新的事业疆土。,10011142,xgq6,boss_05,140100022,240100022,
40100023,23,第23章 有人挑事,由于刚拓展公司的规模，抽调了一部分人去了隔壁市，公司更加忙碌起来。,10011143,xgq5,boss_02,140100023,240100023,
40100024,24,第24章 别惹土豪,你强忍住动手的冲动，这时候驶过来一辆大奔。,10011144,xgq4,boss_06,140100024,240100024,
40100025,25,第25章 隔壁市的风波,压倒高富土不久，隔壁市的兄弟们就传来消息。,10011141,xgq6,boss_01,140100025,240100025,
40100026,26,第26章 打地头蛇,公司的事情处理的差不多之后，你就和林秘书前往隔壁市。,10011142,xgq6,boss_10,140100026,240100026,
40100027,27,第27章 秘书的告诫,你们正准备出发，林秘书却远远地对你使了个眼色。,10011143,xgq4,boss_08,140100027,240100027,
40100028,28,第28章 我大意了,你带着兄弟们一同出去，准备去会会地头蛇。,10011144,xgq2,boss_09,140100028,240100028,
40100029,29,第29章 吸取教训,没想到计划并不顺利，你和兄弟们只好回到公司重新商量。,10011141,xgq3,boss_02,140100029,240100029,
40100030,30,第30章 排名靠前,按照林秘书的计划，收服地头蛇非常顺利，你们在隔壁市也站稳了脚跟。,10011142,xgq2,boss_03,140100030,240100030,
40100031,31,第31章 投资上门,公司日益壮大，开始有越来越多的人来找你谈合作。,10011143,xgq6,boss_10,140100031,240100031,
40100032,32,第32章 我相信你,你正在考虑的时候，林秘书递了个眼色示意有话跟你说。,10011144,xgq3,boss_02,140100032,240100032,
40100033,33,第33章 谁举报我,跟投资人交接了钱几天之后，就传来一个坏消息。,10011141,xgq6,boss_03,140100033,240100033,
40100034,34,第34章 警方查封,还没来得及查清楚，一大公司门口就来了许多警察。,10011142,xgq3,boss_10,140100034,240100034,
40100035,35,第35章 早有准备,没想到投资人早已经人去楼空，你很是无奈，这时候林秘书走了过来。,10011143,xgq6,boss_07,140100035,240100035,
40100036,36,第36章 协助警方,你们带着投资人非法交易的证据去找警方。,10011144,xgq3,boss_09,140100036,240100036,
40100037,37,第37章 一网打尽,答应了警方协助之后，你便动用关系搜寻投资人的行踪。,10011141,xgq2,boss_10,140100037,240100037,
40100038,38,第38章 因祸得福,这天警察大队来解除对公司的查封，还送了你们一面锦旗。,10011142,xgq4,boss_03,140100038,240100038,
40100039,39,第39章 结识官场,这天你刚到公司，就听秘书说有几个神秘的男人来访。,10011143,xgq2,boss_02,140100039,240100039,
