"ID{id,int}(idx)","描述新(str,des)","描述备查",
10001,参数错误,参数错误,
10002,参数格式错误,参数格式错误,
10003,参数为空,参数为空,
10004,业务错误,业务错误,
10005,不是邮箱,不是邮箱,
10006,参数失效,参数失效,
10007,透传参数错误,透传参数错误,
20001,充值签名错误,充值签名错误,
20002,充值查询错误,充值查询错误,
20003,订单未签名,订单未签名,
20005,订单已存在,订单已存在,
20004,该订单已使用,该订单已使用,
20007,该订单已使用或未验证,该订单已使用或未验证,
20006,订单还没处理完,订单还没处理完,
20007,订单处理异常,订单处理异常,
20008,订单处理异常,订单处理异常,
20009,订单处理异常,订单处理异常,
20010,物品不对应,物品不对应,
20011,订单已存在,订单已存在,
20012,物品不存在,物品不存在,
20013,充值操作太快,充值操作太快,
20014,订单不存在,订单不存在,
30001,账号不存在,账号不存在,
30002,没账号或者密码,没账号或者密码,
30003,密码错误,密码错误,
30004,无APP-ID,无APP-ID,
30005,签名数据错误,签名数据错误,
30006,token错误,token错误,
30007,该账号已经注册,该账号已经注册,
30009,该账号没认证,该账号没认证,
30010,两次密码相同,两次密码相同,
30011,此账号冻结,此账号冻结,
30012,此账号冻结,此账号冻结,
40004,数据添加,数据添加,
